standard_op,profiling_kernel,shape_details,kernel_latency_us,,,,,,,,,,
ATTN_PRE_NORM_QUANT,residual_rms_norm_kernel,[4096x3584] bf16→bf16,,,,,,,,,,,
,dynamic_smoothquant_opt1,[4096x3584] bf16→int8+scale,,,,,,,,,,,
QKV_MATMUL,mr_fast_gemm_i8_i8 (W8A8),[4096x3584]×[3584x12288]→bf16,,,,,,,,,,,
FUSED_NORM_ROPE_QUANT_STORE,fused_rms_norm_qk(swa),[4096x40x128] swa_q+swa_k+full_q+full_k,,,,,,,,,,,
,fused_rms_norm_qk(full),[4096x40x128] second norm call,,,,,,,,,,,
,apply_rope_inplace(swa),[4096x(32+8)x128],,,,,,,,,,,
,apply_rope_inplace(full),[4096x(32+8)x128],,,,,,,,,,,
,static_quant_int8 × 4,[4096x8x128] bf16→int8 per KV head,,,,,,,,,,,
,paged_store_kv_cache × 2,[4096 tokens → 128-block pages],,,,,,,,,,,
FLASH_ATTENTION,build_window_cu_lens + misc,,,,,,,,,,,,
,kv_dequant_varlen_window(SWA),[window≈5k] int8→bf16,,,,,,,,,,,
,compute_flash_attn(SWA),"q=4096 kv=window, 32 heads",,,,,,,,,,,
,misc(fill),,,,,,,,,,,,
,kv_dequant_varlen_head_dim(Full),[16384x4x128] int8→bf16,,,,,,,,,,,
,compute_flash_attn(Full),"q=4096 kv=16384, 32 heads",,,,,,,,,,,
ATTN_OUTPUT_GATE,gemm_bf16(attn_gate),[4096x3584]×[3584x32]→gate,,,,,,,,,,,
,CatAllContiguous(full+swa),[4096x4096]+[4096x4096]→[4096x8192],,,,,,,,,,,
,fused_sigmoid_mul,[4096x32x128]*[4096x32x1] gate × attn,,,,,,,,,,,
O_PROJ,dynamic_smoothquant_opt1,[4096x8192] bf16→int8,,,,,,,,,,,
,mr_fast_gemm_i8_i8,[4096x8192]×[8192x3584]→bf16,,,,,,,,,,,
ATTN_POST_NORM_QUANT,vectorized_elementwise(res_add),[4096x3584] residual add,,,,,,,,,,,
,residual_rms_norm(post_attn),[4096x3584] bf16→bf16,,,,,,,,,,,
MOE_GATING,triple_gemm_bf16_fp32,[4096x3584]×[3584x384]→fp32,,,,,,,,,,,
,topkGatingSoftmaxUnaligned,[4096x384]→top8 indices+gates,,,,,,,,,,,
MOE_DISPATCH,moe_compute_token_index,[4096×8→T'] dispatch index,,,,,,,,,,,
MOE_EXPERTS,moe_input_dynamic_smooth_int8,[T'x3584]→int8 expand+smooth+quant,,,,,,,,,,,
,mr_fast_group_gemm_w4a8(fc1_g256),[T'x3584]×[3584x2560] top experts,,,,,,,,,,,
,mr_fast_group_gemm_w4a8(fc1_g320),[T'x3584]×[3584x2560] tail experts,,,,,,,,,,,
,activation_dynamic_scaled_int8,swiglu+quant [T'x2560]→[T'x1280],,,,,,,,,,,
,mr_fast_group_gemm_w4a8(fc2_g256),[T'x1280]×[1280x3584] top experts,,,,,,,,,,,
,mr_fast_group_gemm_w4a8(fc2_g320),[T'x1280]×[1280x3584] tail experts,,,,,,,,,,,
,vectorized_elementwise(small),,,,,,,,,,,,
MOE_COMBINE,moe_output_reduce_sum,[T'x3584]→[4096x3584] weighted sum,,,,,,,,,,,
MISC,vectorized_elementwise(res_add#2),[4096x3584],,,,,,,,,,,
,,,,,,,,,,,,,
SUM,,,,,,,,,,,,,
